Lugar,Temperatura,Categoria
AMETS Berth A Wave Buoy 54.275300 -10.297370,9.95,Maior Temperatura
AMETS Berth B Wave Buoy 54.225100 -10.150990,9.95,Maior Temperatura
Bantry Bay 51.647000 -9.681000,22.23,Maior Temperatura
Brandon Bay 52.282333 -10.094833,9.99,Maior Temperatura
Clew Bay 53.801353 -9.911498,9.95,Maior Temperatura
SmartBay Wave Buoy 53.228333 -9.262278,8.55,Maior Temperatura
AMETS Berth A Wave Buoy 54.275300 -10.297370,8.55,Menor Temperatura
AMETS Berth B Wave Buoy 54.225100 -10.150990,8.15,Menor Temperatura
Bantry Bay 51.647000 -9.681000,5.27,Menor Temperatura
Brandon Bay 52.282333 -10.094833,4.47,Menor Temperatura
Clew Bay 53.801353 -9.911498,7.50,Menor Temperatura
